text,label,source
"Anime có thể khiến người xem khóc và cười cùng lúc.","Anime","Website"
"Các nhân vật trong anime thường trở thành biểu tượng cho thế hệ.","Anime","Báo"
"Phim hoạt hình có thể khiến người xem cảm thấy hồi hộp.","Hoạt hình","Tạp chí"
"Anime thường khám phá các vấn đề xã hội trong một cách sâu sắc.","Anime","Website"
"Các bộ phim hoạt hình thường có những kết thúc bất ngờ.","Hoạt hình","Báo"
"Anime giúp người xem có cái nhìn sâu sắc hơn về cuộc sống.","Anime","Tạp chí"
"Nhân vật trong anime thường có quá khứ phức tạp và thú vị.","Anime","Website"
"Phim hoạt hình giúp trẻ em hiểu về sự khác biệt giữa người và người.","Hoạt hình","Báo"
"Anime có thể tạo ra những mối quan hệ gắn kết giữa các fan.","Anime","Tạp chí"
"Các bộ phim hoạt hình thường mang lại cảm giác ấm áp và hạnh phúc.","Hoạt hình","Website"
"Anime thường sử dụng những yếu tố văn hóa đặc trưng của Nhật Bản.","Anime","Báo"
"Phim hoạt hình có thể giúp phát triển kỹ năng tư duy của trẻ em.","Hoạt hình","Tạp chí"
"Các bộ anime nổi tiếng thường có lượng fan trung thành lớn.","Anime","Website"
"Anime thường khám phá những khía cạnh sâu sắc của tình yêu và sự mất mát.","Anime","Báo"
"Các nhân vật trong anime thường có sự phát triển mạnh mẽ trong suốt câu chuyện.","Anime","Tạp chí"
"Phim hoạt hình không chỉ mang tính giải trí mà còn giáo dục.","Hoạt hình","Website"
"Các bộ anime thường có nội dung đa dạng và phong phú.","Anime","Báo"
"Anime có thể tạo ra những giây phút đáng nhớ cho người xem.","Anime","Tạp chí"
"Phim hoạt hình giúp truyền tải thông điệp một cách sinh động và dễ hiểu.","Hoạt hình","Website"
"Các nhân vật trong anime thường có các mối quan hệ phức tạp và thú vị.","Anime","Báo"
"Phim hoạt hình có thể chạm đến những vấn đề xã hội quan trọng.","Hoạt hình","Tạp chí"
"Anime giúp người xem cảm nhận được vẻ đẹp của cuộc sống.","Anime","Website"
"Nhạc phim anime thường được các nghệ sĩ nổi tiếng sáng tác.","Anime","Báo"
"Các bộ phim hoạt hình thường có sự kết hợp giữa nghệ thuật và công nghệ.","Hoạt hình","Tạp chí"
